mode,clients,qps,messages,planned,sent,recv,err,err_rate,duration,avg,p95,p99,in_msgps,out_msgps_est
private,100,5.0,300,30000,30000,30000,0,0.000000,60.192357,1.693812,7.304522,13.346462,498.402152,996.804303
private,100,10.0,300,30000,30000,30000,0,0.000000,30.286177,1.506403,6.167100,11.474750,990.550905,1981.101810
private,100,20.0,300,30000,30000,30000,0,0.000000,15.336585,0.935694,3.764441,7.266360,1956.106869,3912.213737
private,100,30.0,300,30000,30000,30000,0,0.000000,10.366350,1.995086,7.332633,13.094529,2893.979078,5787.958156
private,200,5.0,300,60000,60000,60000,0,0.000000,60.257011,1.733075,6.899626,12.857560,995.734751,1991.469501
private,200,10.0,300,60000,60000,60000,0,0.000000,30.343903,1.800352,6.288712,10.765415,1977.332995,3954.665990
private,200,20.0,300,60000,60000,60000,0,0.000000,15.411114,12.857127,46.006126,76.480534,3893.294249,7786.588499
private,200,30.0,300,60000,60000,60000,0,0.000000,10.489828,65.783015,220.783262,422.833343,5719.826899,11439.653798
private,300,5.0,300,90000,90000,90000,0,0.000000,60.309609,2.865917,11.213157,21.481890,1492.299505,2984.599010
private,300,10.0,300,90000,90000,90000,0,0.000000,30.434656,24.376495,84.550300,200.061119,2957.155195,5914.310390
private,300,20.0,300,90000,90000,90000,0,0.000000,15.604783,211.872804,773.989250,1451.100502,5767.462472,11534.924943
private,300,30.0,300,90000,90000,89271,729,0.008100,12.655830,2243.315633,6882.418875,9068.206148,7111.346879,14222.693759
private,500,5.0,300,150000,150000,150000,0,0.000000,60.592377,55.302380,210.741785,358.545196,2475.558950,4951.117901
private,500,10.0,300,150000,150000,150000,0,0.000000,31.195366,749.515730,3044.176371,5557.438238,4808.406497,9616.812994
private,500,20.0,300,150000,150000,145676,4324,0.028827,25.503234,9302.250924,20553.223662,22727.826328,5881.606954,11763.213908
private,500,30.0,300,150000,150000,144000,6000,0.040000,25.794500,10529.468107,21661.144577,23460.269196,5815.193233,11630.386466
private,800,5.0,300,240000,240000,239989,11,0.000046,115.820821,17965.710295,55780.093356,64980.875311,2072.166276,4144.332553
private,800,10.0,300,240000,240000,240000,0,0.000000,76.435602,18400.199634,46673.089362,51947.795224,3139.898097,6279.796194
private,800,20.0,300,240000,240000,240000,0,0.000000,57.886950,19254.299743,45194.231364,49593.627462,4146.012200,8292.024401
private,800,30.0,300,240000,240000,240000,0,0.000000,65.118029,24136.866806,56357.771786,60965.303897,3685.615258,7371.230516
